load,value,error
50,0.0,nan
50,0.0,nan
50,0.0,nan
50,0.0,nan
50,0.0,nan
50,0.0,nan
50,0.0,nan
50,0.0,nan
50,0.0,0.0
75,0.0,0.0
100,0.0,0.0
125,0.0,0.0
150,3.0751413735983344e-05,6.027277092252737e-05
175,0.0001080488493586129,0.00021177574474288128
200,0.004135607533682312,0.002188052714318598
225,0.00842224342172325,0.0030121515776401985
250,0.019471632251259134,0.003834289396756119
275,0.03114966383365203,0.00823675118441084
300,0.04805661062087643,0.006979610629441615
325,0.06616569470240692,0.005743192082299782
350,0.08782377703247832,0.01093128509504508
375,0.10748172117975859,0.010914049250573292
400,0.13133997821349402,0.01254480713240268
425,0.15047033757568334,0.008571184393231322
