load,value,error
500,0.5780336741802129,0.003387438547522888
550,0.5947877946132786,0.004319275761323995
600,0.6079491715357808,0.0015994249780071118
650,0.6151650244682438,0.0021809356897117007
700,0.625610433522756,0.002947907117366044
750,0.6367167720490139,0.0025711727072197732
800,0.6428246642825393,0.002391114988877408
850,0.6489535932695131,0.0023819697739699323
900,0.6558537086603835,0.002563110606867088
950,0.6625957779373248,0.003008459953758377
1000,0.6651201595493482,0.005007769289663564
